24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"Copano Dr, 8900 blk - West of Davis Ln",,,932,954,1886,11/02/2011 12:00:00 AM
"Copperbend Blvd, 5000 blk -South of Franklin Park",455,668,,,1123,10/02/2012 12:00:00 AM
"Copperfield Dr, 12400 blk - South of Uttimer Ln",423,460,,,883,09/26/2012 12:00:00 AM
"Corona Dr, 1300 blk - East of Cameron Rd",,,791,577,1368,01/29/2003 12:00:00 AM
"Corona Dr, 1400 blk - West of Belfast",,,130,108,238,10/07/2013 12:00:00 AM
"Corona Dr, 1400 blk - West of Belfast Dr",,,130,108,238,10/07/2013 12:00:00 AM
"Corona Dr, 1500 blk - West of Berkman Dr",,,445,244,689,01/29/2003 12:00:00 AM
"Coronado Hills Dr, 1700 blk - West of Glenhill Dr",,,1130,666,1796,07/06/2010 12:00:00 AM
"Corriander Dr, 1500 blk - North of Cilantro Way",211,201,,,412,02/24/2014 12:00:00 AM
"Cottonwood St, 4600 blk - South of Lurlyne Court",246,244,,,490,02/19/2013 12:00:00 AM
"Cottonwood St, 4600 blk - South of Lurlyne Court",246,244,,,490,02/19/2013 12:00:00 AM
"Country Knoll, 11000 blk - South of Topridge Dr",55,49,,,104,12/10/2002 12:00:00 AM
"Courtyard Dr W, 6800 blk - West of Long Court",,,1139,1451,2590,05/07/2013 12:00:00 AM
"Courtyard Dr West, 6700 blk - West of Long Court",,,1322,1669,2991,11/17/2014 12:00:00 AM
"Courtyard Dr West, 6700 blk - West of Long Court",,,1139,1451,2590,05/07/2013 12:00:00 AM
"Coventry Ln, 5800 blk - North of Lansbury Dr",216,245,,,461,10/07/2013 12:00:00 AM
"Coventry Ln, 5800 blk - North of Lansbury Dr",216,245,,,461,10/07/2013 12:00:00 AM
"Coventry Ln, 5800, South of Sweeny Ln",318,352,,,670,03/22/2001 12:00:00 AM
"Covington Dr East, 700 blk - West of IH 35 WSR",,,366,715,1081,03/02/2010 12:00:00 AM
"Covington Dr West, 300 blk- East of Hornsby St",,,350,1029,1379,03/02/2010 12:00:00 AM
"Creek Bend Dr, 4700 blk - West of Softwood Dr",,,495,313,808,02/26/2013 12:00:00 AM
"Creek Bend Dr, 5000 blk - West of S. Pleasant Valley",,,451,281,732,11/17/2010 12:00:00 AM
"Creekbend Dr, 4700 blk - West of Softwood Dr",,,495,313,808,02/26/2013 12:00:00 AM
"Creekside Dr, 7200 blk - South of Coronado Hills Dr",248,772,,,1020,07/06/2010 12:00:00 AM
"Crestland Dr West, 400 blk - West of Northcrest Blvd",,,431,356,787,12/10/2003 12:00:00 AM
"Crestland Dr West, 600 blk - West of Guadalupe St",,,402,179,581,05/03/2010 12:00:00 AM
"Crestridge Circle, 8600 blk - West of Balcones Club Dr",,,466,518,984,01/06/2003 12:00:00 AM
"Crestridge Circle, 8800 blk - South of Balcones Club Dr",67,60,,,127,01/06/2003 12:00:00 AM
"Crestway Dr, 4800 blk - North of Ridge Oak Dr",330,344,,,674,05/22/2006 12:00:00 AM
"Crestway Dr, 4900 blk - East of Ridge Oak Dr",,,461,506,967,05/22/2006 12:00:00 AM
"Crestway Dr, 4900 blk - West of Hancock Dr",,,466,434,900,01/30/2013 12:00:00 AM
"Crestway Dr, 4900 blk - West of Hancock Dr",,,466,434,900,01/30/2013 12:00:00 AM
"Crestwood Rd, 1200 blk - East of IH35 ESR",,,147,89,236,04/05/2004 12:00:00 AM
"Crestwood Rd, 4300 blk - South of Airport Blvd",229,196,,,425,02/17/2010 12:00:00 AM
"Crestwood Rd, 4300 blk - South of Airport Blvd",113,272,,,385,04/05/2004 12:00:00 AM
"Cripple Creek, 1400 blk - South of Button Quail Cove",1043,1104,,,2147,12/05/2007 12:00:00 AM
"Cripple Creek, 1500 blk - North of Button Quail Cove",681,758,,,1439,08/02/2007 12:00:00 AM
"Croftwood Dr, 3700 blk - South of Eskew St",946,538,,,1484,04/21/2004 12:00:00 AM
"Cross Park Dr, 8300 blk - East of Forbes St",,,6539,4930,11469,06/07/2010 12:00:00 AM
"Cross Park Dr, 8300 blk - West of Chartre Dr",,,6427,4614,11041,06/03/2010 12:00:00 AM
"Cross Valley Run, 4200 blk - West of Lonesome Valley Trl",,,1643,1168,2811,09/13/2010 12:00:00 AM
"Cross Valley Run, 4400 blk - West of Small Dr",,,710,1012,1722,09/13/2010 12:00:00 AM
"Crossland Dr, 11000 blk - East of Boulder Ln",,,231,241,472,09/16/2003 12:00:00 AM
"Crown Dr, 1700 blk - East of Russell Dr",,,182,67,249,02/12/2008 12:00:00 AM
"Crownspoint Dr, 2100 blk - East of Doliver Dr",,,1195,972,2167,04/01/2008 12:00:00 AM
"Crownspoint Dr, 2500 blk - East of Heatherwood Dr",,,658,652,1310,09/19/2007 12:00:00 AM
"Crownspoint Dr, 2500 blk - East of Heatherwood Dr",,,618,658,1276,02/14/2013 12:00:00 AM
"Crownspoint Dr, 2800 blk - East of Canus Dr",,,455,576,1031,11/29/2007 12:00:00 AM
"Cullen Ave, 1200 blk - West of Reese Ln",,,102,102,204,11/13/2007 12:00:00 AM
"Cullen Ave, 1700 blk - West of Arroyo Seco",,,243,205,448,11/14/2007 12:00:00 AM
"Cullen Avenue, 2100 blk - West of Hardy Dr",,,319,354,673,01/21/2014 12:00:00 AM
"Cumberland Rd, 100 blk - West of South Congress Ave",,,1581,1438,3019,12/04/2007 12:00:00 AM
"Cumberland Rd, 1000 blk - East of Raywood Dr",,,801,766,1567,12/11/2008 12:00:00 AM
"Cumberland Rd, 1000 blk - West of South 5th St",,,989,970,1959,03/08/2005 12:00:00 AM
"Cumberland Rd, 400 blk - West of Wilson St",,,1846,1804,3650,10/01/2007 12:00:00 AM
"Cumberland Rd, 900 blk - East of South 5th St",,,1110,1108,2218,03/08/2005 12:00:00 AM
"Cummings St, 700 blk - West of East Ave",,,302,211,513,02/09/2010 12:00:00 AM
"Curlew Dr, 9100 blk - North of Wilcrest Dr",2193,2091,,,4284,09/19/2007 12:00:00 AM
"Curlew Dr, 9700 blk - South of Monarch Dr",1231,1122,,,2353,02/14/2013 12:00:00 AM
"Curve St, 1100 blk - South of Catalpa St",168,177,,,345,06/24/2008 12:00:00 AM
"Cutting Horse Ln, 1500 blk - East of Dapplegrey Ln",,,407,565,972,05/09/2005 12:00:00 AM
"Dahlgreen Ave, 10400 blk - South of LaCrosse Ave",1245,1366,,,2611,05/14/2001 12:00:00 AM
"Dahlgreen Avenue, 10200 blk - North of Ballenton Lane",244,237,,,481,10/03/2012 12:00:00 AM
"Daimondback Trail, 10100 blk - West of Brownie Dr",,,4222,2389,6611,03/05/2014 12:00:00 AM
"Dale Dr, 1400 blk - East of Burrell Dr WB only",,,N/A,559,559,02/25/2010 12:00:00 AM
"Daleview Dr, 8200 blk - South of Millway Dr",366,398,,,764,05/24/2010 12:00:00 AM
"Daleview Dr, 8300 blk - North of Candlelight Ct",218,146,,,364,04/10/2007 12:00:00 AM
"Daleview Dr, 8400 blk - North of Stanwood Dr",172,114,,,286,05/24/2010 12:00:00 AM
"Dallas Dr, 7600 blk - East of Los Indios Trl",,,1519,1672,3191,09/24/2003 12:00:00 AM
"Dallum Dr, 9500 blk - South of Northcape Dr",122,105,,,227,06/14/2010 12:00:00 AM
"Dallum Dr, 9500 blk - South of Northcape Dr",141,106,,,247,01/29/2007 12:00:00 AM
"Dallum Dr, 9500 blk - South of Northcape Dr",128,122,,,250,05/17/2004 12:00:00 AM
"Dallum Dr, 9700 blk - North of Northcape Dr",262,267,,,529,06/14/2010 12:00:00 AM
"Dallum Dr, 9700 blk - North of Northcape Dr",242,227,,,469,05/17/2004 12:00:00 AM
"Dancy St, 2800 blk - South of E. 29th St",405,650,,,1055,01/30/2003 12:00:00 AM
"Dancy St, 2900 blk - North of E. 29th St",344,500,,,844,09/29/2003 12:00:00 AM
"Dancy St, 3100 blk - South of E. 32nd St",345,586,,,931,01/30/2003 12:00:00 AM
"Danwood Dr, 7400 blk - South of D-K Ranch Rd",606,516,,,1122,11/19/2003 12:00:00 AM
"Danwood Dr, 7500 blk - North of D-K Ranch Rd",593,681,,,1274,11/19/2003 12:00:00 AM
"Danwood Dr, 7700 blk - South of Barrington Way",1113,728,,,1841,11/24/2003 12:00:00 AM
"Dartmouth, 1700 blk - West of Woodrow Ave",,,134,109,243,11/14/2007 12:00:00 AM
"Daugherty St, 7000 blk - South of Greenlawn Pkwy",262,259,,,521,01/23/2003 12:00:00 AM
"Daughtery St, 7300 blk - South of Cascade Dr",185,179,,,364,02/19/2003 12:00:00 AM
"Davis Lane, 4500 blk - At Copano Dr",5831,5661,,,11492,05/30/2013 12:00:00 AM
"Davis Lane, 6300 blk - East of Lantana Way",,,2018,1927,3945,02/18/2014 12:00:00 AM
"Davis Ln, 2100 blk - W. of Manchaca Rd",,,3802,3421,7223,03/28/2005 12:00:00 AM
"Davis Ln, 2600 blk - East of Leo St",,,3572,3318,6890,03/28/2005 12:00:00 AM
"Davis Ln, 3000 blk - East of West Gate Blvd",,,2678,2490,5168,04/11/2012 12:00:00 AM
"Davis Ln, 3300 blk - East of Brodie Ln",,,3707,3539,7246,04/11/2012 12:00:00 AM
"Davis Ln, 3400 blk - East of Brodie Ln",,,3615,3635,7250,03/28/2005 12:00:00 AM
"Davis Ln, 3400 blk, East of Brodie Ln",,,3273,1709,4982,08/08/2011 12:00:00 AM
"Davis Ln, 3700 blk - @ Fire Station",,,6020,6741,12761,03/31/2015 12:00:00 AM
"Davis Ln, 4200 blk - West of Ampezo Trail",,,1291,1374,2665,05/21/2001 12:00:00 AM
"Davis Ln, 4300 blk - West of Corran Ferry Dr",,,1613,1793,3406,02/10/2003 12:00:00 AM
"Davis Ln, 4500 blk - @ Copano Dr",7180,6621,,,13801,03/10/2015 12:00:00 AM
"Davis Ln, 4500 blk - South of Copano Dr",5831,5661,,,11492,05/30/2013 12:00:00 AM
"Davis Ln, 4500 blk - West of Copano Dr",,,3105,3531,6636,08/30/2004 12:00:00 AM
"Davis Ln, 4500 blk - West of Copano Dr",,,1545,1789,3334,02/10/2003 12:00:00 AM
"Davis Ln, 4500 blk, West of Copano Dr",,,3935,5584,9519,11/01/2011 12:00:00 AM
"Davis Ln, 4600 blk - East of Copano Dr",,,3112,3459,6571,08/30/2004 12:00:00 AM
"Davis Ln, 4900 blk, East of Latta Dr",,,5018,6584,11602,11/01/2011 12:00:00 AM
"Davis Ln, 5200 blk - East of La Cresada Dr",,,5537,6329,11866,10/14/2009 12:00:00 AM
"Davis Ln, 5400 blk - West of Fulbright Ln",,,4433,5216,9649,10/14/2009 12:00:00 AM
"Davis Ln, 5800 blk - West of Farrell Pl",,,3845,4307,8152,10/14/2009 12:00:00 AM
"Davis Ln, 5900 blk - West of McGee Bend",,,3680,4164,7844,10/14/2009 12:00:00 AM
"Davis Ln, 6500 blk - East of Clairemont Dr",,,1088,1083,2171,10/14/2009 12:00:00 AM
"Davis Ln, 6600 blk - West of Clairemont Dr",,,685,846,1531,10/14/2009 12:00:00 AM
"Davis Ln, 7700 blk - @ Latta Dr",7938,6964,,,14902,03/10/2015 12:00:00 AM
"Davis St, 600 blk - East of Red River St",,,1162,328,1490,02/09/2010 12:00:00 AM
"Dawson Rd, 600 blk - North of Post Oak St",1682,1205,,,2887,04/30/2008 12:00:00 AM
"Dawson Rd, 900 blk - North of Ramona St",1626,1147,,,2773,04/30/2008 12:00:00 AM
"Dean Keaton St East, 1000 blk - East of Red River St",,,10329,9906,20235,03/25/2009 12:00:00 AM
"Dean Keaton St East, 1300 blk - East of Dancy St",,,3294,5161,8455,12/05/2002 12:00:00 AM
"Dean Keaton St East, 200 blk - East of Speedway",,,10574,10034,20608,11/19/2003 12:00:00 AM
"Dean Keeton St E, 1300 blk, at Lafayette Ave",,,3664,6574,10238,01/20/2011 12:00:00 AM
"Decker Lake Rd, 8600 blk - East of Decker Ln",,,1019,938,1957,06/23/2004 12:00:00 AM
"Deen Ave, 200 blk - East of N. Lamar Blvd",,,376,409,785,01/28/2008 12:00:00 AM
"Deepwoods Dr, 4100 blk - East of Waterline Rd",,,194,230,424,09/09/2003 12:00:00 AM
"Deepwoods Dr, 4200 blk - West of Waterline Rd",,,218,229,447,09/09/2003 12:00:00 AM
"Deer Ln, 3500 blk - West of Brodie Ln",,,3177,3663,6840,03/28/2005 12:00:00 AM
"Deer Ln, 3500 blk - West of Brodie Ln",,,1956,2187,4143,02/10/2003 12:00:00 AM
"Deer Ln, 3500 blk - West of Brodie Ln",,,1597,1705,3302,05/21/2001 12:00:00 AM
"Deer Ln, 4000 blk - West of Coastal Dr",,,1312,1387,2699,05/21/2001 12:00:00 AM
"Deer Ln, 4000 blk - West of Coastal Dr",,,5987,6976,12963,03/31/2015 12:00:00 AM
"Deer Ln, 4100 blk - East of Ampezo Trl",,,1709,1921,3630,02/10/2003 12:00:00 AM
"Del Curto Rd, 2500 blk - South of Bluebonnet Ln",1395,1369,,,2764,10/08/2002 12:00:00 AM
"Delano St, 1200 blk - North of Hudson St",497,467,,,964,10/25/2010 12:00:00 AM
"Dellafield Ln, 7500 blk - South of Prairie Dell",93,121,,,214,05/11/2005 12:00:00 AM
"Dellafield Ln, 7600 blk - North of Prairie Dell",92,115,,,207,05/11/2005 12:00:00 AM
"Delmar Ave, 500 blk - East of Duval St",,,187,203,390,02/26/2001 12:00:00 AM
"Delta Dr, 10600 blk - North of Denton Dr",146,155,,,301,08/04/2003 12:00:00 AM
"Denali Pkwy, 8000 blk - South of Cloud Mountain Crossing",365,412,,,777,06/23/2003 12:00:00 AM
"Denson Dr, 200 blk - East of Chesterfield Ave",,,2712,2809,5521,03/23/2010 12:00:00 AM
"Denson Dr, 200 blk - West of Chesterfield Ave",,,2994,3172,6166,09/10/2007 12:00:00 AM
"Denson Dr, 300 blk - West of Chesterfield Ave",,,2964,3459,6423,05/20/2004 12:00:00 AM
"Denson Dr, 600 blk - East of Burns St",,,2443,2601,5044,03/25/2010 12:00:00 AM
"Denton Dr, 2000 blk - West of Metric Blvd",,,955,976,1931,08/04/2003 12:00:00 AM
"Dessau Rd, 10200 blk - South of Applegate Dr",12405,12588,,,24993,06/07/2006 12:00:00 AM
"Dessau Rd, 10400 blk - North of Applegate Dr",11943,12536,,,24479,06/07/2006 12:00:00 AM
"Dessau Rd, 11000 blk - North of Collinwood Dr",11927,12390,,,24317,06/07/2006 12:00:00 AM
"Dessau Rd, 11000 blk - South of Braker LN",10538,10743,,,21281,07/15/2003 12:00:00 AM
"Dessau Rd, 11400 blk - North of Scheider Dr",16035,17663,,,33698,06/06/2006 12:00:00 AM
"Dessau Rd, 11500 blk - South of Shropshire ",16433,17461,,,33894,06/06/2006 12:00:00 AM
"Dessau Rd, 11800 blk - North of Shropshire",13930,14811,,,28741,06/06/2006 12:00:00 AM
"Dessau Rd, 12000 blk - South of Parmer Ln",14056,14946,,,29002,06/06/2006 12:00:00 AM
"Dessau Rd, 12200 blk - South of Parmer Ln",12134,12708,,,24842,06/16/2004 12:00:00 AM
"Dessau Rd, 12300 blk - North of Parmer Ln",672,801,,,1473,06/21/2004 12:00:00 AM
"Dessau Rd, 13100 blk - North of Briargate Dr",589,506,,,1095,06/21/2004 12:00:00 AM
"Dessau Rd, 13400 blk - South of Howard Ln",770,889,,,1659,06/21/2004 12:00:00 AM
"Dessau Rd, 9600 blk - South of Childress Dr",12530,13324,,,25854,06/07/2006 12:00:00 AM
"Dessau Rd, 9800 blk - North of Childress Dr",12100,12770,,,24870,06/07/2006 12:00:00 AM
"Dessau Rd, 9800 blk - North of Childress Dr",10756,11136,,,21892,07/15/2003 12:00:00 AM
"Dexter Avenue, 1800 blk - East of Folts Avenue",,,1225,412,1637,09/25/2012 12:00:00 AM
"Dexter St, 1600 blk - West of Kinney Ave",,,220,235,455,04/10/2002 12:00:00 AM
"Dionysus Dr, 12900 blk - North of Minerva Dr",94,116,,,210,08/11/2010 12:00:00 AM
"Dittmar Rd W, 1800 blk, East of Manchaca Rd",,,4204,3878,8082,02/14/2011 12:00:00 AM
"Dittmar Rd W, 700 blk, East of Latteridge Dr",,,3775,3525,7300,02/14/2011 12:00:00 AM
"Dittmar Rd West, 1100 blk - West of Palace Pkwy",,,1651,1562,3213,02/18/2003 12:00:00 AM
"Dittmar Rd West, 1500 blk - East of Manchaca Rd",,,2233,2086,4319,02/18/2003 12:00:00 AM
"Dittmar Rd West, 600 blk - West of South 1st St",,,2386,2168,4554,02/18/2003 12:00:00 AM
"Dixie Dr, 7300 blk - South of Rhett Place",320,402,,,722,10/28/2010 12:00:00 AM
"D-K Ranch Rd, 11600 blk - West of Danwood Dr",,,366,386,752,11/19/2003 12:00:00 AM
"Dolphin Dr, 3300 blk - North of Valleyridge Dr",105,159,,,264,09/17/2009 12:00:00 AM
"Dolphine Dr, 3300 blk - North of Valley Ridge Dr",105,129,,,234,09/18/2013 12:00:00 AM
"Dolphine Dr, 3300 blk - North of Valleyridge Dr",105,129,,,234,09/18/2013 12:00:00 AM
"Donley Dr, 2100 blk - West of Metric Blvd",,,469,519,988,08/04/2003 12:00:00 AM
"Doonesbury Dr, 1200 blk - West of Doonesbury Cove",,,111,133,244,03/18/2003 12:00:00 AM
"Dorchester Ln, 6300 blk - South of Brunswick Dr",639,398,,,1037,03/26/2001 12:00:00 AM
"Doris Dr, 2100 blk - East of Hathaway Dr",,,361,350,711,07/08/2009 12:00:00 AM
"Dorsett Rd, 11900 blk - West of Ladrido Ln",,,1202,1443,2645,03/05/2013 12:00:00 AM
"Dorsett Rd, 12000 blk - West of Wycliff Ln",,,444,532,976,05/16/2013 12:00:00 AM
"Dorsett Rd, 12100 blk - South of Brown Bark",439,355,,,794,09/26/2012 12:00:00 AM
"Dove Springs Rd, 4600 blk - West of Wing Feather Dr",,,1517,1100,2617,05/28/2008 12:00:00 AM
"Driftwood Dr, 5700 blk - West of Brownwood Ct",,,1194,1361,2555,04/07/2005 12:00:00 AM
"Driskill, 600 blk - West of Rainey St",,,1060,1512,2572,02/04/2010 12:00:00 AM
"Dry Creek Dr, 3900 blk - West of Marquesa Dr",,,489,1022,1511,10/08/2013 12:00:00 AM
"Dry Creek Dr, 3900 blk - West of Marquesa Dr",,,489,1022,1511,10/08/2013 12:00:00 AM
"Dry Creek, 3900 blk - West of Westmont Dr",,,588,1139,1727,01/25/2007 12:00:00 AM
"Dunlap St, 200 blk - West of Wadford St",,,139,129,268,05/08/2008 12:00:00 AM
"Durwood, 2500 blk - South of W. Oltorf St",471,505,,,976,12/04/2007 12:00:00 AM
"Duval Rd, 3400 blk - East of Amherst Dr",,,12016,13142,25158,08/31/2005 12:00:00 AM
"Duval Rd, 4100 blk - At the Railroad Tracks",,,9008,9184,18192,11/03/2009 12:00:00 AM
"Duval Rd, 4100 blk - West of Aspendale Dr",,,10100,9729,19829,08/31/2005 12:00:00 AM
"Duval Rd, 4600 blk - East of Blackhawk Dr",,,8918,8802,17720,08/31/2005 12:00:00 AM
"Duval Rd, 4700 blk - West of Big Trail Dr",,,7943,7596,15539,10/16/2002 12:00:00 AM
"Duval Rd, 5200 blk - West of Angus St",,,9086,8030,17116,04/07/2004 12:00:00 AM
"Duval Rd, 5500 blk - West of US183",,,5701,6353,12054,10/05/2005 12:00:00 AM
"Duval Rd, 5600 blk - East of Jollyville Rd",,,5361,5506,10867,10/05/2005 12:00:00 AM
"Duval St, 3100 blk - North of E. 31st St",3194,2748,,,5942,10/08/2008 12:00:00 AM
"Duval St, 3200 blk - North of E. 32nd St",2725,2962,,,5687,04/29/2009 12:00:00 AM
"Duval St, 3200 blk - North of E. 32nd St",3223,2994,,,6217,05/08/2007 12:00:00 AM
"Duval St, 3200 blk - North of E. 32nd St",3360,3119,,,6479,09/17/2002 12:00:00 AM
"Duval St, 3200 blk, North of East 32nd St",1263,2152,,,3415,08/10/2011 12:00:00 AM
"Duval St, 4800 blk - @ East 48th St",2442,2881,,,5323,04/05/2007 12:00:00 AM
"Duval St, 5200 blk - North of E. 52nd St ",1325,1275,,,2600,11/11/2011 12:00:00 AM
"Duval St, 5200 blk - North of East 52nd St",1285,1329,,,2614,09/26/2011 12:00:00 AM
"Duval St, 5200 blk, North of East 52nd St",970,838,,,1808,02/10/2011 12:00:00 AM
"Duval St, 5800 blk - North of Koenig Ln (RM 2222)",98,112,,,210,03/11/2010 12:00:00 AM
"Duval St, 5800 blk - North of Koenig Ln (RM 2222)",,54,52,,106,09/10/2007 12:00:00 AM
"Duval St, 7300 blk - South of Blackson Dr",625,688,,,1313,02/26/2001 12:00:00 AM
"Duval Street, 4200 blk - South of Park Blvd",2445,2546,,,4991,09/24/2012 12:00:00 AM
"E M Franklin Ave, 2100 blk - South of Pershing Dr",841,1154,,,1995,10/07/2013 12:00:00 AM
"E M Franklin, 2200 blk - South of Pershing",608,1364,,,1972,03/21/2013 12:00:00 AM
"E. M. Franklin Ave, 2100 blk - South of Manor Rd",507,665,,,1172,03/03/2010 12:00:00 AM
"E. M. Franklin Ave, 2100 blk - South of Manor Rd",512,495,,,1007,06/15/2004 12:00:00 AM
"E. M. Franklin, 2100 blk - South of Pershing",841,1154,,,1995,10/07/2013 12:00:00 AM
"East Ave, 30 blk - South of Cummings St",384,104,,,488,02/04/2010 12:00:00 AM
"East Ave, North of River St",N/A,902,,,902,02/04/2010 12:00:00 AM
"East Crest Dr, 7500 blk - North of W. Crestland Dr",287,224,,,511,02/26/2001 12:00:00 AM
"East Dr, 8900 blk - North of Capitol Dr",120,91,,,211,03/05/2014 12:00:00 AM
"East Side Dr, 1600 blk - South of Monroe St",335,257,,,592,05/16/2001 12:00:00 AM
"East Side Dr, 1900 Blk - North of Lockhart Dr",1086,736,,,1822,04/11/2001 12:00:00 AM
"East Side Dr, 2200 blk - South of Wickford Circle",1373,1834,,,3207,04/11/2001 12:00:00 AM
"East Side Dr, 2500 blk - South of Friar Tuck Ln",908,705,,,1613,11/06/2008 12:00:00 AM
"Eberhart Ln, 400 blk - East of South Meadows",,,1772,1616,3388,10/01/2007 12:00:00 AM
"Eberhart Ln, 500 blk - West of South Meadows",,,1511,1525,3036,11/05/2008 12:00:00 AM
"Edgefield Dr, 6800 blk - South of Edgefield Court",198,314,,,512,08/23/2004 12:00:00 AM
"Edgewood Ave, 1100 blk - East of IH35",,,175,234,409,03/29/2004 12:00:00 AM
"El Paso St, 400 blk - East of La Mesa Dr",,,246,237,483,10/01/2007 12:00:00 AM
"Eleanor St, 1200 blk - North of Hudson St",293,279,,,572,10/25/2010 12:00:00 AM
"Elizabeth St W, 200 blk - West of Eva St",,,908,758,1666,10/02/2007 12:00:00 AM
"Elizabeth St W, 500 blk - East of South 1st St",,,775,973,1748,10/27/2004 12:00:00 AM
"Elizabeth St W, 600 blk - West of South 1st St",,,363,459,822,10/27/2004 12:00:00 AM
"Elliot St West, 200 blk - West of Guadalupe St",,,247,312,559,03/05/2014 12:00:00 AM
"Ellise Ave, 2500 blk - West of Daugherty St",,,53,53,106,01/23/2003 12:00:00 AM
"Elmira Rd, 1800 blk - South of Martin Luther King Jr. Blvd",102,98,,,200,09/22/2003 12:00:00 AM
"Elmsgrove Blvd, 4400 blk - East of Stone Gate Dr",,,29,44,73,09/23/2013 12:00:00 AM
"Elmsgrove Dr, 4400 blk - East of Stone Gate Dr",,,29,44,73,09/23/2013 12:00:00 AM
"Elton St, 2000 blk - North of Griswold Ln",124,94,,,218,04/25/2007 12:00:00 AM
"Elysian Fields, 2000 blk - East of Bourbon St",,,140,145,285,07/06/2010 12:00:00 AM
"Ember Glen Dr, 10200 blk - West of Boulder Ln",,,939,736,1675,05/14/2002 12:00:00 AM
"Emerald Forest Dr, 5800 blk - North of Cherry Loop",2957,2451,,,5408,09/17/2007 12:00:00 AM
"Emerald Forest Dr, 6000 blk - South of Sahara Ave",2677,2500,,,5177,04/22/2008 12:00:00 AM
"Enchanted Forest Dr, 12500 blk - East of Dorsett Rd",,,79,48,127,03/26/2012 12:00:00 AM
"Enfield Rd West, 1100 blk - West of Lamar Blvd North",,,2329,1782,4111,03/23/2009 12:00:00 AM
"Enfield Rd West, 1400 blk - East of Marshall Ln",,,15128,13785,28913,04/26/2001 12:00:00 AM
"Enfield Rd West, 2200 blk - East of Kent Ln",,,4919,4809,9728,09/25/2001 12:00:00 AM
"Enfield Rd West, 3200 blk - West of Dillman St",,,3663,3194,6857,09/25/2001 12:00:00 AM
"Enfield Rd West, 3700 blk - West of Rockmoor Ave",,,2932,3220,6152,09/25/2001 12:00:00 AM
"Enfield Rd, 3300 blk - At Pecos St",,,2908,3011,5919,11/12/2013 12:00:00 AM
"Ennis Trail, 16000 blk - South of Morgan Hill Trail",242,274,,,516,07/07/2008 12:00:00 AM
"Ennis Trail, 16000 blk - South of Morgan Hill Trail",228,280,,,508,07/26/2006 12:00:00 AM
"Equestrian Trl, 2100 blk - West of Caballero Cv",,,133,160,293,07/06/2010 12:00:00 AM
"Equestrian Trl, 2400 blk - West of Capadocia Cv",,,116,132,248,07/06/2010 12:00:00 AM
"Escabosa Dr, 8700 blk - South of Minot Cir",117,110,,,227,12/03/2007 12:00:00 AM
"Escarpment Blvd, 10300 blk - South of Slaughter Ln",4734,4919,,,9653,07/14/2004 12:00:00 AM
"Escarpment Blvd, 10500 blk - South of Dedham Ln",3959,3870,,,7829,07/14/2004 12:00:00 AM
"Escarpment Blvd, 10900 blk - South of Redmond Rd  (South)",2809,2799,,,5608,07/14/2004 12:00:00 AM
"Escarpment Blvd, 11500 blk - South of Aden Ln",269,343,,,612,07/14/2004 12:00:00 AM
"Escarpment Blvd, 7300 blk - South of Ridge Oak Rd",6703,5480,,,12183,08/21/2006 12:00:00 AM
"Escarpment Blvd, 9600 blk - North of Slaughter Ln",3995,4055,,,8050,08/22/2006 12:00:00 AM
"Eskew Dr, 3600 blk - West of Woodcroft Dr",,,2119,1797,3916,10/15/2002 12:00:00 AM
"Eskew Dr, 3700 blk- East of Croftwood Dr",,,2082,1850,3932,04/21/2004 12:00:00 AM
"Eskew Dr, 3800 blk - West of Wykeham Dr",,,1685,1734,3419,10/15/2002 12:00:00 AM
"Eskew Dr, 4000 blk - West of Treehouse Ln",,,1177,1316,2493,09/16/2013 12:00:00 AM
"Eskew Dr, 4000 blk - West of Treehouse Ln",,,1177,1316,2493,09/16/2013 12:00:00 AM
"Esplanade St, 12700 blk - South of Scofield Ln",141,77,,,218,01/16/2008 12:00:00 AM
"Esplanade St, 12900 blk - South of Burgandy Cove",102,94,,,196,01/16/2008 12:00:00 AM
"Ethridge Ave, 1400 blk - East of Jarrat Ave",,,354,154,508,11/27/2007 12:00:00 AM
"Ethridge Ave, 1400 blk - West of Harris Blvd",,,445,172,617,04/12/2004 12:00:00 AM
"Ethridge Ave, 1500 blk - East of Harris Blvd",,,145,76,221,04/12/2004 12:00:00 AM
"Eubank Dr, 11600 blk - North of North Bend Dr",419,471,,,890,03/19/2003 12:00:00 AM
"Eubank Dr, 11800 blk - East of Silbury Dr",,,222,170,392,03/19/2003 12:00:00 AM
"Euclid Ave, 2200 blk - North of Fletcher St",244,121,,,365,11/06/2008 12:00:00 AM
"Euclid Ave, 2500 blk - South of Forrest Ave",159,183,,,342,12/04/2007 12:00:00 AM
"Evans Ave, 5200 blk - South of E. 53rd St",138,135,,,273,10/19/2011 12:00:00 AM
"Evans Ave, 5200 blk - South of E. 53rd St",141,106,,,247,02/10/2011 12:00:00 AM
"Evening Primrose Path, 9200 blk - West of Topridge Dr",,,105,142,247,12/17/2002 12:00:00 AM
"Exchange Dr, 8000 blk - North of Cross Park Dr",3157,2251,,,5408,12/16/2003 12:00:00 AM
"Exchange Dr, 8000 blk - South of Profit Centre Dr",3219,1690,,,4909,03/21/2011 12:00:00 AM
