Contract ID #,Name,Developer/Owner,Unit Type,Development Program,Address,Zip Code,Council District,Contact Phone Number,Contact E-mail,Own/Rent,Total Units,Total Affordable Units,Status,Affordability Period Start Date,Affordability Period Start Year,Affordabilty Period,Affordability Period Expiration Date,Units at 30% MFI,Units at 40% MFI,Units at 50% MFI,Units at 60% MFI,Units at 65% MFI ,Units at 80% MFI,Market Rate Units,City Funding Amount,Approx. % of Funds Leveraged,Location 1,Lat,Long
31,2008 Chicon Street,Blackland Community Development Corporation,Duplex,RHDA,2008 Chicon Street,78722,1,512-972-5180,,Rent,2,2,Completed,4/11/06,2006,10,4/11/16,0,0,0,2,0,0,0,"$152,180 ",3%,"2008 Chicon Street(30.2813700668723, -97.721856721313)",30.28137007,-97.721856721313000000000000000000
31,2012 Chicon Street,Blackland Community Development Corporation,Duplex,RHDA,2012 Chicon Street,78722,1,512-972-5180,,Rent,2,2,Completed,4/11/06,2006,10,4/11/16,0,0,0,2,0,0,0,N/A,N/A,"2012 Chicon Street(30.2815716842494, -97.7218980092979)",30.28157168,-97.72189801
31,2201 Salina Street,Blackland Community Development Corporation,Single Family,RHDA,2201 Salina Street,78722,1,512-972-5180,,Rent,1,1,Completed,4/11/06,2006,10,4/11/16,0,0,0,1,0,0,0,N/A,N/A,"2201 Salina Street(30.2828193304993, -97.7226580967352)",30.28281933,-97.7226581
32,2009 Salina Street,Blackland Community Development Corporation,Multifamily,RHDA,2009 Salina Street,78722,1,800-847-8849,,Rent,6,6,Completed,9/1/09,2009,10,9/1/19,0,0,0,6,0,0,0,"$230,000 ",21%,"2009 Salina Street(30.2813953297002, -97.7222834520494)",30.28139533,-97.72228345
32,2110 Salina Street,Blackland Community Development Corporation,Single Family,RHDA,2110 Salina Street,78722,1,512-972-5180,,Rent,1,1,Completed,9/1/09,2009,10,9/1/19,0,0,0,1,0,0,0,N/A,N/A,"2110 Salina Street(30.2823649447706, -97.7230348223138)",30.28236494,-97.72303482
33,1803 E 20th Street,Blackland Community Development Corporation,Multifamily,RHDA,1803 E 20th Street,78722,1,512-972-5180,,Rent,8,8,Completed,4/29/11,2011,15,4/29/26,0,0,8,0,0,0,0,"$491,919 ",0%,"1803 E 20th Street(30.2805006367646, -97.7219761033775)",30.28050064,-97.7219761
34,2106 Chestnut Avenue,Blackland Community Development Corporation,Single Family,RHDA,2106 Chestnut Avenue,78722,1,512-972-5180,,Rent,1,1,Completed,11/30/09,2009,15,11/30/24,0,0,1,0,0,0,0,"$207,868 ",0%,"2106 Chestnut Avenue(30.2830115040421, -97.7180546305809)",30.2830115,-97.71805463
35,Austin Childrens Shelter,Austin Childrens Shelter,Multifamily,RHDA,4800 Manor Road,78723,9,512-499-0090,,Rent,28,28,Completed,6/26/08,2008,99,6/26/07,0,0,28,0,0,0,0,"$1,000,000 ",118%,"4800 Manor Road(30.2956389135677, -97.689067926575)",30.29563891,-97.689067926575000000000000000000
36,Austin Travis County MHMR,Austin Travis County MHMR Center,Multifamily,RHDA,6222 N Lamar Boulevard,78757,7,512-412-4357,,Rent,37,37,Completed,1/31/09,2009,99,1/31/08,0,0,37,0,0,0,0,"$2,300,000 ",31%,"6222 N Lamar Boulevard(30.3312292507617, -97.7235097123333)",30.33122925,-97.72350971
37,Austin Travis County MHMR,Austin Travis County MHMR Center,Multifamily,RHDA,403 E 15th Street,78721,1,512-447-4141,,Rent,24,24,Completed,3/10/10,2010,20,3/10/30,21,0,3,0,0,0,0,"$1,013,075 ",144%,"403 E 15th Street(30.2755988306276, -97.7357455695742)",30.27559883,-97.73574557
38,Carol's House,Accessible Housing Austin!,Single Family,RHDA,1805 Heatherglen Lane,78758,7,512-472-8696,,Rent,1,1,Completed,6/26/09,2009,99,6/26/08,0,0,1,0,0,0,0,"$140,810 ",0%,"1805 Heatherglen Lane(30.3951714095675, -97.7016423888114)",30.39517141,-97.70164239
39,Palms at North Lamar,TMG - TX Austin I,Multifamily,RHDA,8600 N Lamar Boulevard,78753,4,,,Rent,476,215,Completed,6/10/10,2010,99,6/10/09,22,0,193,0,0,0,261,"$3,000,000 ",1072%,"8600 N Lamar Boulevard(30.3546533088105, -97.704330445112)",30.35465331,-97.704330445112000000000000000000
40,Legacy Apartments,Mary Lee Communities,Multifamily,RHDA,1340 Lamar Square Drive,78704,5,512-443-5777,affordablehousing@maryleefoundation.org,Rent,40,40,Completed,7/12/11,2011,99,7/12/10,0,0,36,0,0,4,0,"$675,000 ",0%,"1340 Lamar Square Drive(30.2547309646977, -97.7642027614895)",30.25473096,-97.76420276
41,Guadalupe Court Apartments,NMF VI,Multifamily,RHDA,6607 Guadelupe Street,78752,4,210-946-5700,,Rent,15,15,Completed,5/18/06,2006,10,5/18/16,0,0,15,0,0,0,0,"$180,000 ",168%,"6607 Guadelupe Street(30.3325391187092, -97.7176936693238)",30.33253912,-97.71769367
129,ThinkEast PUD,ThinkEast Austin MGT,Multifamily,SMART, 1141 Shady Lane,78721,3,,,Rent,578,332,In Progress,,UNK,5,,0,0,0,332,0,0,246,N/A,N/A,"1141 Shady Lane(30.2626998781337, -97.6910985606659)",30.26269988,-97.69109856
43,City View at the Park,Parker Lane Senior Apartments,Multifamily,RHDA,2000 Woodward Street,78741,3,512-804-5296,,Rent,70,68,In Progress,12/20/11,2011,20,12/20/31,7,0,0,61,0,0,0,"$299,000 ",2186%,"2000 Woodward Street(30.2184855516517, -97.7434213272554)",30.21848555,-97.74342133
44,Lyons Gardens,Rosewood I Senior Housing Community,Multifamily,RHDA,2720 Lyons Road,78702,3,512-236-1781,0872@nationalchurchresidences.org,Rent,54,53,Completed,4/29/03,2003,20,4/29/23,0,0,53,0,0,0,1,"$800,000 ",599%,"2720 Lyons Road(30.2645793410541, -97.7091893422922)",30.26457934,-97.70918934
45,Marshall Apartments,Marshall Affordable Partners,Multifamily,RHDA,1401 E 12th Street,78702,1,512-472-6935,,Rent,100,100,Completed,8/9/11,2011,99,8/9/10,0,0,100,0,0,0,0,"$2,500,000 ",370%,"1401 E 12th Street(30.2727037607574, -97.7248304939111)",30.27270376,-97.72483049
46,Elm Ridge Apartments,Elm Ridge Affordable Partners,Multifamily,RHDA,1161 Harvey Street,78702,1,512-473-8955,elmridge_apm@bsrtrust.com,Rent,130,130,Completed,2/17/10,2010,99,2/17/09,0,0,130,0,0,0,0,"$2,500,000 ",300%,"1161 Harvey Street(30.2748895873048, -97.7024194499343)",30.27488959,-97.70241945
47,The Boulevard,UCP Austin Housing I,Multifamily,RHDA,1201 Grove Boulevard,78741,3,512-441-1041,,Rent,6,6,Completed,10/28/05,2005,10,10/28/15,0,0,6,0,0,0,0,"$181,717 ",228%,"1201 Grove Boulevard(30.2341914803456, -97.7040225272771)",30.23419148,-97.70402253
48,Allandale Condos,UCP Austin Housing II,Multifamily,RHDA,7685 Northcross Drive,78757,7,512-925-5392,,Rent,10,10,Completed,11/26/07,2007,40,11/26/47,0,0,10,0,0,0,0,"$500,000 ",0%,"7685 Northcross Drive(30.3542193816473, -97.7356936462426)",30.35421938,-97.73569365
49,St. Louise House II,VinCare Services of Austin Foundation,Multifamily,RHDA,Undisclosed,78745,5,512-302-0027,,Rent,24,24,Completed,5/28/08,2008,99,5/28/07,0,0,24,0,0,0,0,"$1,765,294 ",5%,"Undisclosed(30.2109363836519, -97.8039314961919)",30.21093638,-97.8039315
50,Manor House,Volunteers of America - Texas,Multifamily,RHDA,5905 Manor Road,78723,1,817-529-7300,,Rent,11,11,Completed,8/24/01,2001,20,8/24/21,0,0,11,0,0,0,0,"$260,960 ",279%,"5905 Manor Road(30.3066003795593, -97.6794086087417)",30.30660038,-97.67940861
51,Oak Springs Villas,Oak Springs Villas,Multifamily,RHDA,3001 Oak Springs Drive,78702,3,817-529-7300,,Rent,56,56,Completed,5/15/03,2003,20,5/15/23,0,0,56,0,0,0,0,"$466,715 ",789%,"3001 Oak Springs Drive(30.2726991337306, -97.7012606512304)",30.27269913,-97.70126065
53,Spring Terrace Apartments,Spring Terrace Housing Corporation,Multifamily,RHDA,7101 N IH-35,78752,4,512-492-8980,akilah.huang@foundcom.org,Rent,140,140,Completed,12/20/05,2005,99,12/20/04,0,0,140,0,0,0,0,"$2,000,000 ",0%,"7101 N IH-35(30.3314907138636, -97.7031800065299)",30.33149071,"-35(30.331490713"
54,1100 E 10th Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1100 E 10th Street,78702,1,512-479-6275,,Rent,1,1,Completed,2/27/01,2001,20,2/27/21,0,0,0,0,0,1,0,"$100,000 ",241%,"1100 E 10th Street(30.2684390683833, -97.7293401878146)",30.26843907,-97.72934019
54,1112 E 10th Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1112 E 10th Street,78702,1,512-479-6275,,Rent,1,1,Completed,2/27/01,2001,20,2/27/21,0,0,0,0,0,1,0,N/A,N/A,"1112 E 10th Street(30.2682052936843, -97.7282647529115)",30.26820529,-97.72826475
54,1002 Navasota,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1002 Navasota,78702,1,512-479-6275,,Rent,1,1,Completed,2/27/01,2001,20,2/27/21,0,0,0,0,0,1,0,N/A,N/A,"1002 Navasota(30.2677185659426, -97.7267204286374)",30.26771857,-97.72672043
54,1007 Waller Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1007 Waller Street,78702,1,512-479-6275,,Rent,1,1,Completed,2/27/01,2001,20,2/27/21,0,0,0,0,0,1,0,N/A,N/A,"1007 Waller Street(30.2686462542793, -97.7292820964329)",30.26864625,-97.7292821
55,110 Chicon Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,110 Chicon Street,78702,3,,,Rent,2,2,Completed,3/31/03,2003,20,3/31/23,0,0,0,0,0,2,0,"$65,000 ",100%,"110 Chicon Street(30.2579451814521, -97.7245332918763)",30.25794518,-97.72453329
56,La Vista de Guadalupe,Guadalupe Neighborhood Development Corporation,Multifamily,RHDA,813 E 8th Street,78702,1,512-479-6275,,Rent,22,22,Completed,8/20/08,2008,40,8/27/47,3,0,18,1,0,0,0,"$2,138,239 ",201%,"813 E 8th Street(30.2671189761308, -97.7330072179264)",30.26711898,-97.73300722
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,5908 Ventus Street,78721,3,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,"$1,285,500 ",29%,"5908 Ventus Street(30.2586421166223, -97.6847885966937)",30.25864212,-97.6847886
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,5921 Ventus Street,78721,3,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"5921 Ventus Street(30.2581281793287, -97.6846594269009)",30.25812818,-97.68465943
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,5916 Lux Street,78721,3,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"5916 Lux Street(30.2591331562492, -97.6841907066182)",30.25913316,-97.68419071
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,5929 Lux Street,78721,3,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"5929 Lux Street(30.2586304687906, -97.684129443253)",30.25863047,-97.684129443253000000000000000000
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1129 Alum Street,78702,1,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"1129 Alum Street(30.2703971161874, -97.7173198185887)",30.27039712,-97.71731982
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1129 Alum Street,78702,1,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"1129 Alum Street(30.2703971161874, -97.7173198185887)",30.27039712,-97.71731982
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1133 Alum Street,78702,1,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"1133 Alum Street(30.2703971161874, -97.7173198185887)",30.27039712,-97.71731982
57,SOL,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1133 Alum Street,78702,1,512-479-6275,,Rent,1,1,Completed,11/11/09,2009,40,11/11/49,0,0,0,1,0,0,0,N/A,N/A,"1133 Alum Street(30.2703971161874, -97.7173198185887)",30.27039712,-97.71731982
58,7314 Meador Avenue,Neighborhood Housing Services of Austin,Duplex,RHDA,7314 Meador Avenue,78752,4,,,Rent,2,2,Completed,10/16/12,2012,20,10/16/32,0,0,2,0,0,0,0,"$231,250 ",0%,"7314 Meador Avenue(30.3314871526481, -97.695256354235)",30.33148715,-97.695256354235000000000000000000
59,Rutland Place Apartments,San Antonio Alternative Housing Corporation,Multifamily,RHDA,1711 Rutland Drive,78758,4,512-837-0840,,Rent,48,48,Completed,9/15/09,2009,,,0,0,48,0,0,0,0,"$295,000 ",0%,"1711 Rutland Drive(30.3752151221661, -97.7117396890835)",30.37521512,-97.71173969
59,Meadowood Apartments,San Antonio Alternative Housing Corporation,Multifamily,RHDA,9601 Middle Fiskville Road,78758,4,512-834-0780,,Rent,48,48,Completed,9/15/09,2009,,,0,0,48,0,0,0,0,N/A,N/A,"9601 Middle Fiskville Road(30.3594094449148, -97.6850009341505)",30.35940944,-97.68500093
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/25/11,2011,10,10/25/21,0,0,0,0,0,1,0,"$1,000,000 ",0%,"Undisclosed(30.2934999834267, -97.6483444804001)",30.29349998,-97.64834448
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,11/16/11,2011,10,11/16/21,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2948717616347, -97.6471218859843)",30.29487176,-97.64712189
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,1/19/12,2012,10,1/19/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2929954763707, -97.6483667558148)",30.29299548,-97.64836676
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/3/13,2013,10,10/3/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2938823456861, -97.6477932002224)",30.29388235,-97.6477932
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/14/13,2013,10,10/14/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2945785022599, -97.647311626621)",30.2945785,-97.647311626621000000000000000000
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/7/13,2013,10,10/7/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.294298225375, -97.6480540111459)",30.294298225375000000000000000000,-97.64805401
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/7/13,2013,10,10/7/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2966888583286, -97.6470176507907)",30.29668886,-97.64701765
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/17/13,2013,10,10/17/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2947206090744, -97.6478730731321)",30.29472061,-97.64787307
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,12/19/13,2013,10,12/19/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2946599872794, -97.6464674534919)",30.29465999,-97.64646745
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,12/19/13,2013,10,12/19/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2965722986396, -97.6470951888651)",30.2965723,-97.64709519
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,12/19/13,2013,10,12/19/23,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2935771557692, -97.647925521774)",30.29357716,-97.647925521774000000000000000000
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,1/19/14,2014,10,1/19/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2960546507591, -97.6470022768539)",30.29605465,-97.64700228
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/20/14,2014,10,2/20/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2937663299211, -97.6482380259339)",30.29376633,-97.64823803
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/24/14,2014,10,2/24/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.296841985475, -97.6469762416665)",30.296841985475000000000000000000,-97.64697624
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,3/4/14,2014,10,3/4/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2939013895412, -97.6481888504244)",30.29390139,-97.64818885
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,3/5/14,2014,10,3/5/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.294433717647, -97.6480254879363)",30.294433717647000000000000000000,-97.64802549
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,3/19/14,2014,10,3/19/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2934490692444, -97.6479661995806)",30.29344907,-97.6479662
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,3/26/14,2014,10,3/26/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.29644159027, -97.647181361305)",30.296441590270000000000000000000,-97.647181361305000000000000000000
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,5/27/14,2014,10,5/27/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2962765042707, -97.64682279246)",30.2962765,-97.646822792460000000000000000000
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,5/28/14,2014,10,5/28/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2940333084006, -97.6481604269392)",30.29403331,-97.64816043
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,5/28/14,2014,10,5/28/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2938621874313, -97.6472407572657)",30.29386219,-97.64724076
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,6/19/14,2014,10,6/19/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2941665072405, -97.6480907015336)",30.29416651,-97.6480907
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/9/12,2012,10,10/9/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2932165786368, -97.6484926746278)",30.29321658,-97.64849267
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,11/2/12,2012,10,11/2/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2933873414562, -97.6484383863073)",30.29338734,-97.64843839
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,11/9/12,2012,10,11/9/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2932783066243, -97.6480204887711)",30.29327831,-97.64802049
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,11/1/12,2012,10,11/1/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2936351887991, -97.6483035733386)",30.29363519,-97.64830357
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/27/12,2012,10,2/27/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2936978077409, -97.6478726265369)",30.29369781,-97.64787263
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/14/12,2012,10,2/14/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2959238561481, -97.6470843309996)",30.29592386,-97.64708433
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,8/30/12,2012,10,8/30/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2961670046021, -97.6468959818601)",30.296167,-97.64689598
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,8/31/12,2012,10,8/31/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2964073850361, -97.6467448556384)",30.29640739,-97.64674486
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,7/20/12,2012,10,7/20/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2965343188775, -97.6466505152351)",30.29653432,-97.64665052
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,7/31/12,2012,10,7/31/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2966620590503, -97.6465933307498)",30.29666206,-97.64659333
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,4/18/12,2012,10,4/18/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2942143446233, -97.6476395303941)",30.29421434,-97.64763953
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,1/11/12,2012,10,1/11/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2949222180222, -97.6474795197681)",30.29492222,-97.64747952
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/14/12,2012,10,2/14/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2945786181169, -97.6474890816544)",30.29457862,-97.64748908
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,6/21/12,2012,10,6/21/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2941961342122, -97.6474543390103)",30.29419613,-97.64745434
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/27/12,2012,10,2/27/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.294150085913, -97.647307036687)",30.294150085913000000000000000000,-97.647307036687000000000000000000
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,8/15/12,2012,10,8/15/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2937551360415, -97.6474294655656)",30.29375514,-97.64742947
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,6/27/12,2012,10,6/27/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2945175002595, -97.647135866171)",30.2945175,-97.647135866171000000000000000000
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,4/18/12,2012,10,4/18/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2940610743812, -97.6471609619345)",30.29406107,-97.64716096
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,4/19/12,2012,10,4/19/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2948437534317, -97.6469823529756)",30.29484375,-97.64698235
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,9/21/12,2012,10,9/21/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2944644505142, -97.6469970306651)",30.29446445,-97.64699703
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,2/17/12,2012,10,2/17/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2948362028926, -97.6467927117481)",30.2948362,-97.64679271
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,7/6/12,2012,10,7/6/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2943607714585, -97.6468348511142)",30.29436077,-97.64683485
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,10/3/12,2012,10,10/3/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2947713082721, -97.6466005465577)",30.29477131,-97.64660055
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,3/20/12,2012,10,3/20/22,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2944920479391, -97.6464845213508)",30.29449205,-97.64648452
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,6/20/14,2014,10,6/20/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2945468770047, -97.6479562879292)",30.29454688,-97.64795629
60,Sendero Hills,Austin Neighborhood Alliance for Habitat,Single Family,A&D,Undisclosed,78724,1,512-472-8788,,Own,1,1,Completed,7/22/14,2014,10,7/22/24,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2943620319166, -97.6466036992397)",30.29436203,-97.6466037
